Subject,Within_Cond,Within_Time,DV
1,1,1,96.00
2,1,1,81.00
3,1,1,73.00
4,1,1,90.00
5,1,1,72.00
6,1,1,83.00
7,1,1,83.00
8,1,1,96.00
9,1,1,86.00
10,1,1,72.00
11,1,1,95.00
12,1,1,75.00
13,1,1,80.00
14,1,1,76.00
15,1,1,77.00
16,1,1,82.00
17,1,1,79.00
18,1,1,75.00
19,1,1,94.00
20,1,1,70.00
21,1,1,82.00
22,1,1,85.00
23,1,1,77.00
24,1,1,71.00
25,1,1,90.00
26,1,1,71.00
27,1,1,87.00
28,1,1,71.00
29,1,1,75.00
30,1,1,94.00
1,1,2,89.00
2,1,2,70.00
3,1,2,74.00
4,1,2,83.00
5,1,2,97.00
6,1,2,82.00
7,1,2,94.00
8,1,2,95.00
9,1,2,95.00
10,1,2,75.00
11,1,2,82.00
12,1,2,82.00
13,1,2,87.00
14,1,2,91.00
15,1,2,74.00
16,1,2,85.00
17,1,2,83.00
18,1,2,86.00
19,1,2,79.00
20,1,2,94.00
21,1,2,81.00
22,1,2,95.00
23,1,2,72.00
24,1,2,75.00
25,1,2,76.00
26,1,2,94.00
27,1,2,79.00
28,1,2,99.00
29,1,2,72.00
30,1,2,74.00
1,2,1,92.00
2,2,1,90.00
3,2,1,83.00
4,2,1,84.00
5,2,1,93.00
6,2,1,76.00
7,2,1,81.00
8,2,1,77.00
9,2,1,71.00
10,2,1,70.00
11,2,1,78.00
12,2,1,81.00
13,2,1,76.00
14,2,1,88.00
15,2,1,78.00
16,2,1,98.00
17,2,1,84.00
18,2,1,83.00
19,2,1,82.00
20,2,1,84.00
21,2,1,89.00
22,2,1,70.00
23,2,1,96.00
24,2,1,94.00
25,2,1,81.00
26,2,1,81.00
27,2,1,82.00
28,2,1,98.00
29,2,1,91.00
30,2,1,71.00
1,2,2,83.00
2,2,2,73.00
3,2,2,84.00
4,2,2,74.00
5,2,2,50.00
6,2,2,47.00
7,2,2,85.00
8,2,2,49.00
9,2,2,83.00
10,2,2,85.00
11,2,2,80.00
12,2,2,72.00
13,2,2,78.00
14,2,2,84.00
15,2,2,47.00
16,2,2,53.00
17,2,2,48.00
18,2,2,74.00
19,2,2,78.00
20,2,2,59.00
21,2,2,72.00
22,2,2,65.00
23,2,2,50.00
24,2,2,72.00
25,2,2,66.00
26,2,2,53.00
27,2,2,74.00
28,2,2,77.00
29,2,2,82.00
30,2,2,52.00
