model,displ,year,cyl,trans,drv,cty,hwy,fl,class
c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv
c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater
corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater
corvette,7,2008,8,manual(m6),r,15,24,p,2seater
k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize
malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
