plant  temperature  N
6.91    Low 1.711 
12.37   Low 3.704 
23.24   Low 7.174 
1.20    Low 0.079 
3.37    Low 0.762 
27.69   Low 8.948 
9.58    Low 3.094 
15.75   Low 4.877 
23.24   Low 7.491 
10.08   Low 3.069 
25.88   Low 7.994 
23.55   Low 7.332 
25.18   Low 8.017 
3.48    Low 0.598 
30.03   Low 9.404 
29.54   Low 9.559 
25.50   Low 8.346 
17.03   Low 5.265 
12.93   Low 4.093 
23.55   Low 7.533 
25.77   Low 8.507 
21.48   Low 6.852 
21.19   Low 6.383 
15.20   Low 4.852 
10.99   Low 3.238 
37.46   High    8.638 
41.29   High    9.233 
40.64   High    9.513 
3.26    High    0.892 
20.35   High    4.622 
10.51   High    2.694 
25.03   High    5.956 
42.28   High    9.454 
18.33   High    4.374 
37.47   High    8.447 
2.14    High    0.824 
22.08   High    5.207 
22.90   High    5.280 
20.33   High    4.780 
16.52   High    4.076 
17.41   High    4.136 
13.72   High    3.381 
12.91   High    3.086 
3.56    High    0.812 
11.08   High    2.608 
16.76   High    4.056 
43.84   High    9.919 
41.02   High    9.163 
3.43    High    0.961 
42.00   High    9.780
